epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6664,0.7315,0.59054,0.93605,0.44855,0.68451,0.47783,0.35169,0.96681,1.5489,1.04597,0.0003334,0.0003334,0.0003334
2,48.5361,0.79357,0.66103,0.95885,0.40757,0.75254,0.49003,0.34828,0.98076,1.58842,1.05459,0.000680087,0.000680087,0.000680087
3,69.179,0.82321,0.68999,0.98364,0.45616,0.55781,0.45428,0.31415,1.06764,1.47856,1.08927,0.00102331,0.00102331,0.00102331
4,89.4753,0.86123,0.7722,0.98311,0.38948,0.69863,0.44637,0.29624,1.10035,1.54319,1.13907,0.00136306,0.00136306,0.00136306
5,109.128,0.91538,0.84374,1.01665,0.38749,0.64477,0.40853,0.28629,1.08199,1.63924,1.15486,0.00163399,0.00163399,0.00163399
6,129.888,0.91966,0.86494,1.01507,0.37265,0.69987,0.41603,0.28924,1.06817,1.93754,1.09316,0.00162574,0.00162574,0.00162574
7,149.475,0.94285,0.94566,1.02674,0.39483,0.75071,0.4181,0.2713,1.1653,1.50422,1.14917,0.00161749,0.00161749,0.00161749
8,169.773,0.93699,0.88782,1.02178,0.40733,0.65348,0.40981,0.27693,1.1147,2.03089,1.11851,0.00160924,0.00160924,0.00160924
9,190.23,0.94455,0.8837,1.01187,0.38603,0.67753,0.42226,0.28952,1.03969,1.84526,1.08548,0.00160099,0.00160099,0.00160099
10,210.301,0.94272,0.88021,1.02285,0.37358,0.73822,0.41317,0.29138,1.02841,1.79148,1.10752,0.00159274,0.00159274,0.00159274
11,230.731,0.95305,0.87928,1.0205,0.42512,0.62921,0.40645,0.2667,1.08102,1.67261,1.11057,0.00158448,0.00158448,0.00158448
12,250.511,0.90851,0.85432,1.00302,0.42689,0.75783,0.42461,0.2993,1.06726,1.66213,1.10515,0.00157623,0.00157623,0.00157623
13,270.879,0.91199,0.83844,1.01245,0.39567,0.69175,0.37618,0.2612,1.04011,1.68898,1.08623,0.00156798,0.00156798,0.00156798
14,290.582,0.93715,0.87153,1.01334,0.35739,0.60326,0.33715,0.22963,1.09044,1.87756,1.12502,0.00155973,0.00155973,0.00155973
15,310.973,0.91495,0.86622,1.00846,0.40318,0.70277,0.44248,0.29361,1.0717,1.37063,1.07326,0.00155148,0.00155148,0.00155148
16,330.819,0.9343,0.84724,1.0121,0.37899,0.64457,0.37883,0.2578,1.13682,1.91215,1.21018,0.00154323,0.00154323,0.00154323
